window_id,start_time,start_sample,end_sample,raw_rms,raw_max,eq_rms,eq_max,eq_low_rms,eq_low_max,traffic_rms,traffic_max,stalta_raw_mean,stalta_raw_max,stalta_eq_mean,stalta_eq_max,stalta_eq_low_mean,stalta_eq_low_max,stalta_traffic_mean,stalta_traffic_max,kurtosis_raw,kurtosis_eq,kurtosis_eq_low,kurtosis_traffic,eq_band_energy,eq_low_band_energy,traffic_band_energy,total_energy,eq_ratio,eq_low_ratio,traffic_ratio,low_to_high_ratio,spectral_centroid,spectral_spread,label
116,2025-11-27T17:11:19.059000Z,29000,29500,339.1629541978471,911.2612408343357,292.09475776683445,667.3421576358371,228.88630228719282,409.60549640676624,86.10382432820052,270.34444076140386,1.1475389265361469,1.8036497448084279,1.5813643745050543,2.6668637621700797,2.340255542834733,4.016879525350799,0.524658067871406,0.9676778930174045,-0.45658145849608145,-0.3733575463023495,-1.170962395147454,-0.046053256897999884,59514.55133792317,47205.051235468934,10097.967845073983,111885.91497505426,0.5319217468185544,0.42190342945306014,0.09025235971234973,4.674708016474449,3.8100966157861613,5.958208181643251,2
117,2025-11-27T17:11:21.559000Z,29250,29750,324.26514428566935,881.2104962370777,258.40914927560766,585.9024342039929,205.62011933840068,409.60549640676624,91.55933015121585,297.3501623576248,1.0022092546739407,1.8036497448084279,1.0803995638943449,2.570552011282466,1.8536794678264312,4.016879525350799,0.6625282406068936,1.0268138215494576,-0.58878047402577,-0.5497927853060491,-0.6497389240596512,0.018206510590018432,42879.28135412286,30285.612858912995,11383.178888276576,94470.91352286228,0.4538887129925539,0.32058134858179116,0.12049400671373625,2.6605584570144707,4.735679640328878,5.755068261949531,2
118,2025-11-27T17:11:24.059000Z,29500,30000,270.1468614904745,757.100117478074,192.27314797097168,463.9728221666205,161.18377382285266,355.1054124515162,95.90235164628776,325.3077052578209,0.737929627350977,1.2085050801861066,0.6529949642108239,1.0681444146312573,0.9831876339272149,1.8561986066613798,0.711205515043354,1.3062293145497264,-0.5708380998509055,-0.35245893527764727,-0.6757065957779651,0.27140324135489413,26022.244154035794,19086.159141331696,12198.006341380435,69961.22657616783,0.37195237172843093,0.27281052770783376,0.17435380907880832,1.5646949679460225,5.38832706741405,6.144769069796132,0
119,2025-11-27T17:11:26.559000Z,29750,30250,273.78060754807586,876.923066985446,193.99388569391166,421.65127429996426,141.92984784572727,328.94594334987767,111.47493994617817,325.3077052578209,0.7437725489138511,1.1131149067674344,0.5790766760908468,1.1439090198493251,0.702791627706863,1.7246536491762368,1.0314575386229239,1.8422103746250786,-0.5100187813786303,-0.35535965289874794,-0.7924337680441798,-0.4300209130264423,23113.218154359703,17399.455878563727,17138.028919942048,66441.05600110954,0.3478755387929669,0.2618780754820203,0.25794335538038143,1.0152542022097697,6.328191681377563,6.868218139329437,0
120,2025-11-27T17:11:29.059000Z,30000,30500,317.8760138531848,932.1899045631963,241.75978153984494,512.2005970729944,181.6174573490625,425.4271346933337,114.73137303292194,328.70267141141085,0.9537150947060173,1.6591388332644956,0.802978443486305,1.6609180670582544,1.0099124769880232,2.661440562361728,1.3888361206178679,2.1677759166009962,-0.17797658328853183,-0.9541096767795212,-0.4145936244142878,-0.3195982754238442,47532.25088846247,33045.736532480514,19450.645889767893,96944.59953007613,0.4903032362696593,0.3408723816763858,0.2006367140000769,1.6989531720313884,4.832169321893846,5.992182755460535,0
121,2025-11-27T17:11:31.559000Z,30250,30750,358.8953897696363,1036.2587986879425,255.1529139947761,512.2005970729944,209.83951500209827,425.4271346933337,120.4902425757286,328.70267141141085,1.2629423748483257,1.7772590350530304,1.100606430262599,1.9703919943487853,1.4232814280076334,2.67084115820603,1.4631889214876543,2.1757258100120396,-0.34618717549273414,-0.8817077530675417,-0.9371306747371144,-0.1870774138666813,72991.79446458202,49637.97096387084,21336.427450694468,147408.36865582046,0.4951672359593668,0.33673780814825427,0.1447436644557967,2.3264424692736023,4.055265117101825,5.2747839723636885,0
122,2025-11-27T17:11:34.059000Z,30500,31000,342.36392050894756,1036.2587986879425,256.6714020853683,616.8749265537949,171.61924276768178,387.89037884923164,110.39873305332092,325.3335070546674,1.2526946419331004,1.7772590350530304,1.1584322297571608,1.9703919943487853,1.0298846117139542,2.67084115820603,1.1979453399637252,2.1757258100120396,-0.33607567707370745,-0.27573666201603775,-0.7367879579915817,-0.17470388515917712,33248.350598537036,25869.95067511391,16926.271611829816,102088.74625090805,0.3256808592479043,0.25340648822870404,0.16579958353322655,1.5283903784831907,5.545269723529829,6.3199266523738435,0
123,2025-11-27T17:11:36.559000Z,30750,31250,302.01771029400066,862.4591842873397,240.78631387506738,616.8749265537949,155.51738709993174,316.45808203701836,93.04823560182092,263.5194484831832,0.9549496528772287,1.6386346960269487,0.8747733012009474,1.593232577593109,0.6331452634947302,1.2516655242248738,0.8370628807345141,1.6034502157430537,-0.10074521996158259,-0.3031866391798652,-0.8399721674674545,-0.6031251345868753,29897.975848582973,17535.460957371935,11076.336121943401,92943.02279304057,0.3216806915690465,0.1886689331852132,0.11917340096208671,1.583146336867862,5.255417075974125,6.059471098224064,0
124,2025-11-27T17:11:39.059000Z,31000,31500,200022.58297605615,931593.4119170277,112616.74732554668,480672.4891252259,46499.70667904401,225437.73716019717,26992.21477730035,154947.44079633398,8.916862519607042,19.991822626791453,7.940432824684454,19.99010428685413,6.263040207545283,19.991286155350213,7.186469003793411,19.97467354917669,7.492171985076073,9.16495100615762,11.334729273428605,13.907556330028843,1491309402.23911,966381403.2856826,49251057.62803822,5807312830.838772,0.2567985306938794,0.16640767105809667,0.008480868701699458,19.62153606089323,2.5145041071294907,2.470816839421123,2
125,2025-11-27T17:11:41.559000Z,31250,31750,480178.9425434977,1230172.6977209344,352905.00788322004,920855.0297794641,284542.8260628924,830410.3938048763,52862.187044251834,154947.44079633398,14.197036554971685,19.991822626791453,14.871636969987769,19.99010428685413,14.199505715795866,19.992236152470156,12.187195783025153,19.97467354917669,-0.02316389374052763,0.7093310920970302,1.7155188503547105,0.6881355740541162,168450217339.4224,71430033710.88875,5083527669.1431055,256070487341.5635,0.6578275344738674,0.27894676365266063,0.01985206386693975,14.05127273024742,2.0071285880550125,1.8377375451022138,2
